Unnamed: 0,pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len,P3pp,P3_True,P3_len
81.0,escalaropt_missings,_TruncatedSVD,120,scy_cossine,1021.6981880664824,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2556390977443609,68,266
82.0,escalaropt_missings,_TruncatedSVD,120,Camberra,998.4863836765288,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2556390977443609,68,266
83.0,escalaropt_missings,_TruncatedSVD,120,BrayCurtis,1040.8752236366272,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2556390977443609,68,266
84.0,escalaropt_missings,_TruncatedSVD,120,np_cossine,1151.4145793914795,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2556390977443609,68,266
85.0,escalaropt_missings,_TruncatedSVD,150,Manhattan,1774.5752532482147,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2556390977443609,68,266
86.0,escalaropt_missings,_TruncatedSVD,150,scy_cossine,1111.9118568897247,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2556390977443609,68,266
87.0,escalaropt_missings,_TruncatedSVD,150,Camberra,1000.6244497299194,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2556390977443609,68,266
88.0,escalaropt_missings,_TruncatedSVD,150,BrayCurtis,1083.9797339439392,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2556390977443609,68,266
89.0,escalaropt_missings,_TruncatedSVD,150,np_cossine,1073.1435856819153,0.008992805755395683,5,556,0.23633156966490296,134,567,0.2556390977443609,68,266
90.0,escalaropt_missings,_IncrementalPCA,10,Manhattan,1116.7786288261414,0.007194244604316547,4,556,0.18694885361552027,106,567,0.20676691729323307,55,266
91.0,escalaropt_missings,_IncrementalPCA,10,scy_cossine,1027.6690244674685,0.007194244604316547,4,556,0.18694885361552027,106,567,0.20676691729323307,55,266
92.0,escalaropt_missings,_IncrementalPCA,10,Camberra,1004.0615634918213,0.007194244604316547,4,556,0.18694885361552027,106,567,0.20676691729323307,55,266
93.0,escalaropt_missings,_IncrementalPCA,10,BrayCurtis,1013.124796628952,0.007194244604316547,4,556,0.18694885361552027,106,567,0.20676691729323307,55,266
94.0,escalaropt_missings,_IncrementalPCA,10,np_cossine,1063.4188656806946,0.007194244604316547,4,556,0.18694885361552027,106,567,0.20676691729323307,55,266
95.0,escalaropt_missings,_IncrementalPCA,20,Manhattan,1134.7667033672333,0.008992805755395683,5,556,0.20458553791887124,116,567,0.2368421052631579,63,266
96.0,escalaropt_missings,_IncrementalPCA,20,scy_cossine,999.8227920532228,0.008992805755395683,5,556,0.20458553791887124,116,567,0.2368421052631579,63,266
97.0,escalaropt_missings,_IncrementalPCA,20,Camberra,1007.6644315719604,0.008992805755395683,5,556,0.20458553791887124,116,567,0.2368421052631579,63,266
98.0,escalaropt_missings,_IncrementalPCA,20,BrayCurtis,996.1935007572174,0.008992805755395683,5,556,0.20458553791887124,116,567,0.2368421052631579,63,266
99.0,escalaropt_missings,_IncrementalPCA,20,np_cossine,972.5852625370026,0.008992805755395683,5,556,0.20458553791887124,116,567,0.2368421052631579,63,266
100.0,escalaropt_missings,_IncrementalPCA,30,Manhattan,1117.4747953414917,0.008992805755395683,5,556,0.21340388007054675,121,567,0.2669172932330827,71,266
101.0,escalaropt_missings,_IncrementalPCA,30,scy_cossine,989.8034579753876,0.008992805755395683,5,556,0.21340388007054675,121,567,0.2669172932330827,71,266
102.0,escalaropt_missings,_IncrementalPCA,30,Camberra,977.7595479488373,0.008992805755395683,5,556,0.21340388007054675,121,567,0.2669172932330827,71,266
103.0,escalaropt_missings,_IncrementalPCA,30,BrayCurtis,973.9826009273528,0.008992805755395683,5,556,0.21340388007054675,121,567,0.2669172932330827,71,266
104.0,escalaropt_missings,_IncrementalPCA,30,np_cossine,972.1408877372743,0.008992805755395683,5,556,0.21340388007054675,121,567,0.2669172932330827,71,266
105.0,escalaropt_missings,_IncrementalPCA,50,Manhattan,1239.7945649623869,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
106.0,escalaropt_missings,_IncrementalPCA,50,scy_cossine,994.3829896450044,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
107.0,escalaropt_missings,_IncrementalPCA,50,Camberra,985.2990908622743,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
108.0,escalaropt_missings,_IncrementalPCA,50,BrayCurtis,979.5943040847777,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
109.0,escalaropt_missings,_IncrementalPCA,50,np_cossine,978.8766875267028,0.008992805755395683,5,556,0.2416225749559083,137,567,0.2330827067669173,62,266
110.0,escalaropt_missings,_IncrementalPCA,80,Manhattan,1360.7183780670164,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2368421052631579,63,266
111.0,escalaropt_missings,_IncrementalPCA,80,scy_cossine,980.57830286026,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2368421052631579,63,266
112.0,escalaropt_missings,_IncrementalPCA,80,Camberra,974.6174676418304,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2368421052631579,63,266
113.0,escalaropt_missings,_IncrementalPCA,80,BrayCurtis,985.3986291885376,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2368421052631579,63,266
114.0,escalaropt_missings,_IncrementalPCA,80,np_cossine,978.973007440567,0.008992805755395683,5,556,0.2380952380952381,135,567,0.2368421052631579,63,266
115.0,escalaropt_missings,_IncrementalPCA,100,Manhattan,1446.5899181365967,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
116.0,escalaropt_missings,_IncrementalPCA,100,scy_cossine,984.645486354828,0.008992805755395683,5,556,0.2433862433862433,138,567,0.2368421052631579,63,266
